--- Bang-bang trajectory (hardware - single ECU) ---
t(s)	L1(m)	L2(m)
1.90	0.438600	0.438600
2.00	0.438000	0.438000
2.10	0.437400	0.437400
2.20	0.436800	0.436800
2.30	0.436200	0.436200
2.40	0.435600	0.435600
2.50	0.435000	0.435000
2.60	0.434400	0.434400
2.70	0.433800	0.433800
2.80	0.433200	0.433200
2.90	0.432600	0.432600
3.00	0.432000	0.432000
3.10	0.431400	0.431400
3.20	0.430800	0.430800
3.30	0.430200	0.430200
3.40	0.429600	0.429600
3.50	0.429000	0.429000
3.60	0.428400	0.428400
3.70	0.427800	0.427800
3.80	0.427200	0.427200
3.90	0.426600	0.426600
4.00	0.426000	0.426000
4.10	0.425400	0.425400
4.20	0.424800	0.424800
4.30	0.424200	0.424200
4.40	0.423600	0.423600
4.50	0.423000	0.423000
4.60	0.422400	0.422400
4.70	0.421800	0.421800
4.80	0.421200	0.421200
4.90	0.420600	0.420600
5.00	0.420000	0.420000
5.10	0.419400	0.419400
5.20	0.418800	0.418800
5.30	0.418200	0.418200
5.40	0.417600	0.417600
5.50	0.417000	0.417000
5.60	0.416400	0.416400
5.70	0.415800	0.415800
5.80	0.415200	0.415200
5.90	0.414600	0.414600
6.00	0.414000	0.414000
6.10	0.413400	0.413400
6.20	0.412800	0.412800
6.30	0.412200	0.412200
6.40	0.411600	0.411600
6.50	0.411000	0.411000
6.60	0.410400	0.410400
6.70	0.409800	0.409800
6.80	0.409200	0.409200
6.90	0.408600	0.408600
7.00	0.408000	0.408000
7.10	0.407400	0.407400
7.20	0.406800	0.406800
7.30	0.406200	0.406200
7.40	0.405600	0.405600
7.50	0.405000	0.405000
7.60	0.404400	0.404400
7.70	0.403800	0.403800
7.80	0.403200	0.403200
7.90	0.402600	0.402600
8.00	0.402000	0.402000
8.10	0.401400	0.401400
8.20	0.400800	0.400800
8.30	0.400200	0.400200
8.40	0.399600	0.399600
8.50	0.399000	0.399000
8.60	0.398400	0.398400
8.70	0.397800	0.397800
8.80	0.397200	0.397200
8.90	0.396600	0.396600
9.00	0.396000	0.396000
9.10	0.395400	0.395400
9.20	0.394800	0.394800
9.30	0.394200	0.394200
9.40	0.393600	0.393600
9.50	0.393000	0.393000
9.60	0.392400	0.392400
9.70	0.391800	0.391800
9.80	0.391200	0.391200
9.90	0.390600	0.390600
10.00	0.390000	0.390000
10.10	0.389400	0.389400
10.20	0.388800	0.388800
10.30	0.388200	0.388200
10.40	0.387600	0.387600
10.50	0.387000	0.387000
10.60	0.386400	0.386400
10.70	0.385800	0.385800
10.80	0.385200	0.385200
10.90	0.384600	0.384600
11.00	0.384000	0.384000
11.10	0.383400	0.383400
11.20	0.382800	0.382800
11.30	0.382200	0.382200
11.40	0.381600	0.381600
11.50	0.381000	0.381000
11.60	0.380400	0.380400
11.70	0.379800	0.379800
11.80	0.379200	0.379200
11.90	0.378600	0.378600
12.00	0.378000	0.378000
12.10	0.377400	0.377400
12.20	0.376800	0.376800
12.30	0.376200	0.376200
12.40	0.375600	0.375600
12.50	0.375000	0.375000
12.60	0.374400	0.374400
12.70	0.373800	0.373800
12.80	0.373200	0.373200
12.90	0.372600	0.372600
13.00	0.372000	0.372000
13.10	0.371400	0.371400
13.20	0.370800	0.370800
13.30	0.370200	0.370200
13.40	0.369600	0.369600
13.50	0.369000	0.369000
13.60	0.368400	0.368400
13.70	0.367800	0.367800
13.80	0.367200	0.367200
13.90	0.366600	0.366600
14.00	0.366000	0.366000
14.10	0.365400	0.365400
14.20	0.364800	0.364800
14.30	0.364200	0.364200
14.40	0.363600	0.363600
14.50	0.363000	0.363000
14.60	0.362400	0.362400
14.70	0.361800	0.361800
14.80	0.361200	0.361200
14.90	0.360600	0.360600
15.00	0.360000	0.360000
15.10	0.360000	0.360000
15.20	0.360000	0.360000
15.30	0.360000	0.360000
15.40	0.360000	0.360000
15.50	0.360000	0.360000
15.60	0.360000	0.360000
15.70	0.360000	0.360000
15.80	0.360000	0.360000
15.90	0.360000	0.360000
--- Bang-bang trajectory (hardware - single ECU) ---
t(s)	L1(m)	L2(m)
0.00	0.360000	0.360000
0.10	0.360600	0.360600
0.20	0.361200	0.361200
0.30	0.361800	0.361800
0.40	0.362400	0.362400
0.50	0.363000	0.363000
0.60	0.363600	0.363600
0.70	0.364200	0.364200
0.80	0.364800	0.364800
0.90	0.365400	0.365400
1.00	0.366000	0.366000
1.10	0.366600	0.366600
1.20	0.367200	0.367200
1.30	0.367800	0.367800
1.40	0.368400	0.368400
1.50	0.369000	0.369000
1.60	0.369600	0.369600
1.70	0.370200	0.370200
1.80	0.370800	0.370800
1.90	0.371400	0.371400
2.00	0.372000	0.372000
2.10	0.372600	0.372600
2.20	0.373200	0.373200
2.30	0.373800	0.373800
2.40	0.374400	0.374400
2.50	0.375000	0.375000
2.60	0.375600	0.375600
2.70	0.376200	0.376200
2.80	0.376800	0.376800
2.90	0.377400	0.377400
3.00	0.378000	0.378000
3.10	0.378600	0.378600
3.20	0.379200	0.379200
3.30	0.379800	0.379800
3.40	0.380400	0.380400
3.50	0.381000	0.381000
3.60	0.381600	0.381600
3.70	0.382200	0.382200
3.80	0.382800	0.382800
3.90	0.383400	0.383400
4.00	0.384000	0.384000
4.10	0.384600	0.384600
4.20	0.385200	0.385200
4.30	0.385800	0.385800
4.40	0.386400	0.386400
4.50	0.387000	0.387000
4.60	0.387600	0.387600
4.70	0.388200	0.388200
4.80	0.388800	0.388800
4.90	0.389400	0.389400
5.00	0.390000	0.390000
5.10	0.390600	0.390600
5.20	0.391200	0.391200
5.30	0.391800	0.391800
5.40	0.392400	0.392400
5.50	0.393000	0.393000
5.60	0.393600	0.393600
5.70	0.394200	0.394200
5.80	0.394800	0.394800
5.90	0.395400	0.395400
6.00	0.396000	0.396000
6.10	0.396600	0.396600
6.20	0.397200	0.397200
6.30	0.397800	0.397800
6.40	0.398400	0.398400
6.50	0.399000	0.399000
6.60	0.399600	0.399600
6.70	0.400200	0.400200
6.80	0.400800	0.400800
6.90	0.401400	0.401400
7.00	0.402000	0.402000
7.10	0.402600	0.402600
7.20	0.403200	0.403200
7.30	0.403800	0.403800
7.40	0.404400	0.404400
7.50	0.405000	0.405000
7.60	0.405600	0.405600
7.70	0.406200	0.406200
7.80	0.406800	0.406800
7.90	0.407400	0.407400
8.00	0.408000	0.408000
8.10	0.408600	0.408600
8.20	0.409200	0.409200
8.30	0.409800	0.409800
8.40	0.410400	0.410400
8.50	0.411000	0.411000
8.60	0.411600	0.411600
8.70	0.412200	0.412200
8.80	0.412800	0.412800
8.90	0.413400	0.413400
9.00	0.414000	0.414000
9.10	0.414600	0.414600
9.20	0.415200	0.415200
9.30	0.415800	0.415800
9.40	0.416400	0.416400
9.50	0.417000	0.417000
9.60	0.417600	0.417600
9.70	0.418200	0.418200
9.80	0.418800	0.418800
9.90	0.419400	0.419400
10.00	0.420000	0.420000
10.10	0.420600	0.420600
10.20	0.421200	0.421200
10.30	0.421800	0.421800
10.40	0.422400	0.422400
10.50	0.423000	0.423000
10.60	0.423600	0.423600
10.70	0.424200	0.424200
10.80	0.424800	0.424800
10.90	0.425400	0.425400
11.00	0.426000	0.426000
11.10	0.426600	0.426600
11.20	0.427200	0.427200
11.30	0.427800	0.427800
11.40	0.428400	0.428400
11.50	0.429000	0.429000
11.60	0.429600	0.429600
11.70	0.430200	0.430200
11.80	0.430800	0.430800
11.90	0.431400	0.431400
12.00	0.432000	0.432000
12.10	0.432600	0.432600
12.20	0.433200	0.433200
12.30	0.433800	0.433800
12.40	0.434400	0.434400
12.50	0.435000	0.435000
12.60	0.435600	0.435600
12.70	0.436200	0.436200
12.80	0.436800	0.436800
12.90	0.437400	0.437400
13.00	0.438000	0.438000
13.10	0.438600	0.438600
13.20	0.439200	0.439200
13.30	0.439800	0.439800
13.40	0.440400	0.440400
13.50	0.441000	0.441000
13.60	0.441600	0.441600
13.70	0.442200	0.442200
13.80	0.442800	0.442800
13.90	0.443400	0.443400
14.00	0.444000	0.444000
14.10	0.444600	0.444600
14.20	0.445200	0.445200
14.30	0.445800	0.445800
14.40	0.446400	0.446400
14.50	0.447000	0.447000
14.60	0.447600	0.447600
14.70	0.448200	0.448200
14.80	0.448800	0.448800
14.90	0.449400	0.449400
15.00	0.450000	0.450000
15.10	0.450000	0.450000
15.20	0.450000	0.450000
15.30	0.450000	0.450000
15.40	0.450000	0.450000
15.50	0.450000	0.450000
15.60	0.450000	0.450000
15.70	0.450000	0.450000
15.80	0.450000	0.450000
15.90	0.450000	0.450000
--- Bang-bang trajectory (hardware - single ECU) ---
t(s)	L1(m)	L2(m)
0.00	0.450000	0.450000
0.10	0.449400	0.449400
0.20	0.448800	0.448800
0.30	0.448200	0.448200
0.40	0.447600	0.447600
0.50	0.447000	0.447000
0.60	0.446400	0.446400
0.70	0.445800	0.445800
0.80	0.445200	0.445200
0.90	0.444600	0.444600
1.00	0.444000	0.444000
1.10	0.443400	0.443400
1.20	0.442800	0.442800
1.30	0.442200	0.442200
1.40	0.441600	0.441600
1.50	0.441000	0.441000
1.60	0.440400	0.440400
1.70	0.439800	0.439800
1.80	0.439200	0.439200
1.90	0.438600	0.438600
2.00	0.438000	0.438000
2.10	0.437400	0.437400
2.20	0.436800	0.436800
2.30	0.436200	0.436200
2.40	0.435600	0.435600
2.50	0.435000	0.435000
2.60	0.434400	0.434400
2.70	0.433800	0.433800
2.80	0.433200	0.433200
2.90	0.432600	0.432600
3.00	0.432000	0.432000
3.10	0.431400	0.431400
3.20	0.430800	0.430800
3.30	0.430200	0.430200
3.40	0.429600	0.429600
3.50	0.429000	0.429000
3.60	0.428400	0.428400
3.70	0.427800	0.427800
3.80	0.427200	0.427200
3.90	0.426600	0.426600
4.00	0.426000	0.426000
4.10	0.425400	0.425400
4.20	0.424800	0.424800
4.30	0.424200	0.424200
4.40	0.423600	0.423600
4.50	0.423000	0.423000
4.60	0.422400	0.422400
4.70	0.421800	0.421800
4.80	0.421200	0.421200
4.90	0.420600	0.420600
5.00	0.420000	0.420000
5.10	0.419400	0.419400
5.20	0.418800	0.418800
5.30	0.418200	0.418200
5.40	0.417600	0.417600
5.50	0.417000	0.417000
5.60	0.416400	0.416400
5.70	0.415800	0.415800
5.80	0.415200	0.415200
5.90	0.414600	0.414600
6.00	0.414000	0.414000
6.10	0.413400	0.413400
6.20	0.412800	0.412800
6.30	0.412200	0.412200
6.40	0.411600	0.411600
6.50	0.411000	0.411000
6.60	0.410400	0.410400
6.70	0.409800	0.409800
6.80	0.409200	0.409200
6.90	0.408600	0.408600
7.00	0.408000	0.408000
7.10	0.407400	0.407400
7.20	0.406800	0.406800
7.30	0.406200	0.406200
7.40	0.405600	0.405600
7.50	0.405000	0.405000
7.60	0.404400	0.404400
7.70	0.403800	0.403800
7.80	0.403200	0.403200
7.90	0.402600	0.402600
8.00	0.402000	0.402000
8.10	0.401400	0.401400
8.20	0.400800	0.400800
8.30	0.400200	0.400200
8.40	0.399600	0.399600
8.50	0.399000	0.399000
8.60	0.398400	0.398400
8.70	0.397800	0.397800
8.80	0.397200	0.397200
8.90	0.396600	0.396600
9.00	0.396000	0.396000
9.10	0.395400	0.395400
9.20	0.394800	0.394800
9.30	0.394200	0.394200
9.40	0.393600	0.393600
9.50	0.393000	0.393000
9.60	0.392400	0.392400
9.70	0.391800	0.391800
9.80	0.391200	0.391200
9.90	0.390600	0.390600
10.00	0.390000	0.390000
10.10	0.389400	0.389400
10.20	0.388800	0.388800
10.30	0.388200	0.388200
10.40	0.387600	0.387600
10.50	0.387000	0.387000
10.60	0.386400	0.386400
10.70	0.385800	0.385800
10.80	0.385200	0.385200
10.90	0.384600	0.384600
11.00	0.384000	0.384000
11.10	0.383400	0.383400
11.20	0.382800	0.382800
11.30	0.382200	0.382200
11.40	0.381600	0.381600
11.50	0.381000	0.381000
11.60	0.380400	0.380400
11.70	0.379800	0.379800
11.80	0.379200	0.379200
11.90	0.378600	0.378600
12.00	0.378000	0.378000
12.10	0.377400	0.377400
12.20	0.376800	0.376800
12.30	0.376200	0.376200
12.40	0.375600	0.375600
12.50	0.375000	0.375000
12.60	0.374400	0.374400
12.70	0.373800	0.373800
12.80	0.373200	0.373200
12.90	0.372600	0.372600
13.00	0.372000	0.372000
13.10	0.371400	0.371400
13.20	0.370800	0.370800
13.30	0.370200	0.370200
13.40	0.369600	0.369600
13.50	0.369000	0.369000
13.60	0.368400	0.368400
13.70	0.367800	0.367800
13.80	0.367200	0.367200
13.90	0.366600	0.366600
14.00	0.366000	0.366000
14.10	0.365400	0.365400
14.20	0.364800	0.364800
14.30	0.364200	0.364200
14.40	0.363600	0.363600
14.50	0.363000	0.363000
14.60	0.362400	0.362400
14.70	0.361800	0.361800
14.80	0.361200	0.361200
14.90	0.360600	0.360600
15.00	0.360000	0.360000
15.10	0.360000	0.360000
15.20	0.360000	0.360000
15.30	0.360000	0.360000
15.40	0.360000	0.360000
15.50	0.360000	0.360000
15.60	0.360000	0.360000
15.70	0.360000	0.360000
15.80	0.360000	0.360000
15.90	0.360000	0.360000
